           SYSTEM:  C29H21N3O4
#################################################### 
#                                                  # 
#   Number of trajectories and transition states   # 
#                                                  # 
#################################################### 
 
 Iter #          TSs       ntrajs 
      1           39            0 
      2           42            0 
      3           48            0 
      4           53            0 
      5           59            0 
      6          100            0 
      7          119            0 
      8          144            0 
      9          172            0 
     10          173            0 
     11          174            0 
     12          176            0 
     13          178            0 
     14          179            0 
     15          179            0 
     16          196            0 
     17          198            0 
     18          199            0 
     19          215            0 
     20          220            0 
     21          224            0 
     22          231            0 
     23          236            0 
     24          237            0 
     25          250            0 
     26          250            0 
     27          255            0 
     28          255            0 
     29          257            0 
     30          259            0 
     31          263            0 
     32          272            0 
     33          281            0 
     34          288            0 
     35          301            0 
     36          323            0 
     37          339            0 
     38          352            0 
     39          370            0 
     40          391            0 
     41          392            0 
     42          405            0 
     43          423            0 
     44          438            0 
     45          442            0 
     46          452            0 
     47          461            0 
     48          473            0 
     49          477            0 
     50          485            0 
     51          494            0 
     52          495            0 
     53          503            0 
     54          516            0 
     55          521            0 
     56          529            0 
     57          541            0 
     58          545            0 
     59          571            0 
     60          592            0 
     61          600            0 
     62          603            0 
     63          607            0 
     64          616            0 
     65          619            0 
     66          623            0 
     67          623            0 
     68          654            0 
     69          661            0 
     70          686            0 
     71          702            0 
     72          713            0 
     73          714            0 
     74          727            0 
     75          733            0 
     76          743            0 
     77          747            0 
     78          770            0 
     79          786            0 
     80          796            0 
     81          800            0 
     82          803            0 
     83          810            0 
     84          826            0 
     85          832            0 
     86          847            0 
     87          860            0 
     88          862            0 
     89          871            0 
     90          879            0 
     91          884            0 
     92          886            0 
     93          895            0 
     94          910            0 
     95          922            0 
     96          932            0 
     97          935            0 
     98          941            0 
     99          954            0 
    100          971            0 
    101          973            0 
    102          984            0 
    103          988            0 
    104          991            0 
    105          994            0 
    106          996            0 
    107          998            0 
    108         1002            0 
    109         1008            0 
    110         1011            0 
    111         1011            0 
    112         1029            0 
    113         1045            0 
    114         1050            0 
    115         1060            0 
    116         1069            0 
    117         1074            0 
    118         1079            0 
    119         1085            0 
    120         1093            0 
